Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,8.0,11.6,blue,b11bl,10.33,5.76,< LOD,2170.96,337.91,39.1,< LOD,19.59,144.45,66.97,815751.56,1359.54,< LOD,16.01,< LOD,5.98,107441.79,1260.4,< LOD,13.78,8100.81,147.39,< LOD,72.62,< LOD,35.5,0,0,15119.1,198.84,4259.84,156.79,0,0,0,0,1770.86,178.63,< LOD,7529.56,< LOD,135.9,< LOD,2.71,< LOD,2.3,< LOD,67.88,< LOD,710.09,1776.5,42.16,< LOD,7.14,2.54,1.0,0,0,10462.7,287.68,29.35,18.47,0,0,< LOD,6.35,33763.77,957.39,367.88,25.64,205.28,5.79,0,0,0,0,0,0,434.61,48.11,0,0,< LOD,30.14,< LOD,108.05,< LOD,31.78,< LOD,4.17
Mining,92.6,7.0,2.7,green,f17g,< LOD,3.47,< LOD,14971.19,23.11,7.32,< LOD,12.51,< LOD,61.04,901555.0,766.44,< LOD,4.96,< LOD,3.49,93351.26,1845.86,< LOD,7.02,< LOD,2073.55,< LOD,57.3,< LOD,41.45,0,0,2232.83,67.12,1741.86,113.39,0,0,0,0,775.71,164.63,< LOD,350732.69,< LOD,123.42,< LOD,2.41,< LOD,1.98,< LOD,71.3,< LOD,9032.17,26.07,6.63,< LOD,3.39,< LOD,1.5,0,0,< LOD,3859.76,< LOD,13.65,0,0,< LOD,4.49,< LOD,10364.25,< LOD,12.75,142.61,4.65,0,0,0,0,0,0,150.76,40.43,0,0,< LOD,26.05,< LOD,96.89,< LOD,31.13,< LOD,3.29
Mining,120.0,6.8,2.8,green,f17g,< LOD,8.22,< LOD,2229.42,53.17,9.72,< LOD,11.98,< LOD,159.16,747570.25,1633.52,< LOD,5.76,< LOD,3.91,182274.3,1614.35,< LOD,13.86,7925.99,170.65,< LOD,56.31,< LOD,44.97,0,0,6225.07,107.24,2168.2,113.75,0,0,0,0,1268.99,159.04,< LOD,19522.92,< LOD,122.45,< LOD,2.32,< LOD,1.86,< LOD,63.32,841.3,432.34,71.84,8.66,< LOD,7.11,< LOD,1.5,0,0,21837.51,454.76,< LOD,25.86,0,0,< LOD,4.51,26969.93,1101.58,< LOD,35.21,207.79,5.34,0,0,0,0,0,0,416.82,57.79,0,0,< LOD,30.09,< LOD,89.8,< LOD,23.11,< LOD,4.28
Mining,120.0,7.0,17.9,green,h37g,< LOD,8.64,< LOD,1610.8,70.23,10.97,< LOD,12.5,< LOD,87.59,741474.69,1632.05,< LOD,5.53,< LOD,3.09,212817.52,1757.05,< LOD,12.68,6642.06,130.0,< LOD,56.22,< LOD,32.97,0,0,8576.13,129.56,1848.44,105.61,0,0,0,0,1318.75,162.47,< LOD,15251.0,< LOD,114.88,< LOD,2.25,< LOD,1.82,< LOD,63.01,839.44,298.9,100.05,9.75,< LOD,5.84,< LOD,1.5,0,0,10110.4,274.6,< LOD,32.1,0,0,< LOD,4.76,14140.62,699.29,< LOD,21.88,162.75,4.67,0,0,0,0,0,0,462.66,64.11,0,0,< LOD,32.24,< LOD,88.04,< LOD,24.31,< LOD,3.22
Mining,120.0,3.2,8.8,red,b25r,< LOD,9.95,< LOD,1856.86,19.89,10.35,< LOD,20.07,< LOD,182.68,886214.06,1195.87,< LOD,8.16,< LOD,4.62,99487.77,1641.79,< LOD,18.54,1589.67,154.35,< LOD,118.54,< LOD,53.49,0,0,367.43,51.33,6718.76,268.21,0,0,0,0,954.65,268.64,< LOD,12716.84,< LOD,183.72,< LOD,3.99,< LOD,3.4,< LOD,120.57,< LOD,599.52,29.34,9.75,< LOD,9.0,< LOD,1.5,0,0,685.54,310.51,< LOD,41.43,0,0,< LOD,9.32,3538.63,720.77,< LOD,36.42,170.14,6.71,0,0,0,0,0,0,172.02,61.29,0,0,< LOD,58.54,< LOD,170.35,< LOD,29.21,< LOD,5.5
Mining,120.0,6.5,7.5,red,b34r,< LOD,4.14,< LOD,963.39,22.69,6.65,< LOD,9.99,< LOD,57.87,903625.88,653.03,< LOD,4.36,< LOD,2.69,73849.14,906.44,< LOD,8.58,914.5,60.98,< LOD,95.18,25.55,15.31,0,0,42.49,19.51,13715.32,240.52,0,0,0,0,1078.08,132.56,< LOD,7827.53,< LOD,106.22,< LOD,1.85,< LOD,1.55,< LOD,54.58,< LOD,247.47,34.24,6.23,< LOD,3.97,< LOD,1.5,0,0,2117.53,138.56,< LOD,17.68,0,0,< LOD,3.52,4147.07,345.08,< LOD,18.13,166.57,4.28,0,0,0,0,0,0,260.91,33.13,0,0,< LOD,25.43,< LOD,75.74,< LOD,13.51,< LOD,3.26
Mining,120.0,2.0,17.5,white,c1fabricwhite,5.89,3.27,< LOD,880.35,< LOD,5.38,< LOD,7.46,< LOD,50.74,945507.44,381.63,< LOD,3.57,18.56,2.28,29309.39,580.89,13.36,6.16,18539.56,205.33,< LOD,35.84,< LOD,27.66,0,0,< LOD,23.7,535.99,64.98,0,0,0,0,862.85,135.14,< LOD,5342.74,< LOD,79.42,2.86,1.78,< LOD,2.3,< LOD,47.02,< LOD,351.27,< LOD,5.69,< LOD,3.88,< LOD,1.5,0,0,2847.72,187.99,< LOD,23.7,0,0,< LOD,2.87,2226.5,380.07,16.17,10.06,36.19,1.92,0,0,0,0,0,0,75.81,24.07,0,0,< LOD,25.84,< LOD,64.05,< LOD,11.32,< LOD,3.1
Mining,120.0,8.5,17.5,white,c6wabvyllw,< LOD,6.46,< LOD,1360.05,< LOD,6.35,< LOD,10.64,< LOD,76.99,771132.44,1450.38,< LOD,4.21,< LOD,2.65,222341.41,1785.17,< LOD,15.97,1258.01,77.54,< LOD,40.6,35.69,20.13,0,0,< LOD,29.58,135.8,61.5,0,0,0,0,229.61,141.14,< LOD,7538.49,< LOD,105.28,< LOD,2.24,< LOD,1.82,< LOD,60.74,< LOD,308.55,< LOD,5.95,< LOD,5.57,< LOD,1.5,0,0,1571.14,162.38,< LOD,27.66,0,0,< LOD,4.45,3050.46,416.8,< LOD,29.85,137.53,4.22,0,0,0,0,0,0,105.36,57.09,0,0,< LOD,25.49,< LOD,85.62,< LOD,14.77,< LOD,2.95
Mining,120.0,3.3,1.4,white,f20w,< LOD,10.11,< LOD,1921.44,< LOD,15.59,< LOD,20.75,< LOD,128.03,825733.19,1702.51,< LOD,7.87,< LOD,5.04,169298.27,2216.54,< LOD,19.81,205.79,132.23,< LOD,80.59,68.01,36.84,0,0,89.34,43.51,1120.97,138.8,0,0,0,0,413.54,252.96,< LOD,12184.19,< LOD,178.9,< LOD,4.16,< LOD,3.57,< LOD,121.88,< LOD,548.41,< LOD,10.31,< LOD,9.97,< LOD,1.5,0,0,< LOD,396.58,< LOD,35.5,0,0,< LOD,8.81,2776.72,653.72,< LOD,33.6,150.78,6.33,0,0,0,0,0,0,141.94,73.11,0,0,< LOD,51.52,< LOD,174.89,< LOD,29.39,< LOD,5.36
Mining,120.0,8.4,2.0,white,f25w,< LOD,5.17,< LOD,1058.46,< LOD,4.69,< LOD,8.46,< LOD,57.16,736898.81,1347.3,< LOD,3.19,< LOD,2.05,257508.91,1738.61,< LOD,10.37,852.91,51.67,< LOD,33.64,< LOD,27.48,0,0,< LOD,21.47,408.7,57.06,0,0,0,0,< LOD,201.44,< LOD,5218.95,< LOD,85.15,< LOD,1.6,< LOD,1.5,< LOD,43.97,< LOD,203.27,< LOD,4.59,< LOD,3.86,< LOD,1.5,0,0,981.33,107.07,< LOD,20.76,0,0,< LOD,2.8,2850.65,306.11,< LOD,14.67,163.55,3.86,0,0,0,0,0,0,166.09,63.59,0,0,< LOD,29.94,< LOD,63.58,< LOD,10.12,< LOD,2.3
