Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,3.5,10.8,red,b13roldtop,,8.07,,1419.37,8.57,5.39,,11.85,,71.67,758473.31,1530.25,,5.06,,3.29,196394.27,1665.83,,15.77,8830.76,136.88,,92.53,48.36,22.49,0,0,,31.14,10822.72,233.04,0,0,0,0,1210.56,161.46,,7275.82,,123.85,,2.22,,1.83,,58.91,,629.8,8.79,5.38,,5.27,,1.5,0,0,7530.76,230.47,,27.99,0,0,,4.42,12897.52,620.17,,22.02,209.78,5.26,0,0,0,0,0,0,2305.16,86.32,0,0,,55.35,,86.52,,20.93,,3.39
Mining,120.0,3.5,2.0,red,f20r,,8.5,,992.23,,6.65,,9.86,,69.07,822001.19,1082.26,,3.9,,2.46,141750.97,1329.32,,15.02,5087.97,97.21,,98.66,57.6,22.74,0,0,,26.07,15976.88,259.26,0,0,0,0,1230.73,153.98,,5232.14,622.16,99.9,,1.97,,1.56,,52.21,,291.13,,9.9,,4.93,,1.5,0,0,3472.84,163.87,,21.11,0,0,,3.63,6827.22,438.42,,23.94,163.43,4.21,0,0,0,0,0,0,2802.12,84.95,0,0,,69.23,,73.96,,12.2,,2.78
Mining,120.0,4.5,20.5,red,h23r,,7.3,,1095.02,28.01,7.97,,22.65,178.86,50.36,845636.13,1087.98,,5.78,9.8,2.59,96834.77,1159.44,131.29,11.71,2088.57,82.97,,159.9,72.35,23.99,0,0,,33.93,37745.34,461.77,0,0,0,0,1576.18,169.31,,9291.29,427.41,105.53,,2.45,,2.09,,66.43,,485.02,17.97,8.67,,5.0,,1.5,0,0,1748.42,161.97,,23.45,0,0,,114.07,8961.61,509.76,,20.36,196.6,5.27,0,0,0,0,0,0,3305.59,101.17,0,0,,70.41,,110.55,46.52,12.83,13.31,3.07
Mining,120.0,3.5,10.2,red,b13rnewbttm,,7.22,,1140.42,47.26,12.98,,17.59,116.62,62.31,836535.31,1203.42,,6.9,5.62,2.68,84891.6,1222.28,99.03,12.62,3219.62,93.66,,180.29,226.13,36.09,0,0,,39.97,44920.64,535.2,0,0,0,0,965.0,186.27,,10399.75,203.63,100.43,,2.69,,2.21,,68.78,,330.91,154.43,13.11,,6.94,,1.5,0,0,7260.27,222.4,,42.73,0,0,,39.21,4635.29,436.5,,25.33,336.75,7.5,0,0,0,0,0,0,15240.84,242.85,0,0,,129.49,,106.41,23.05,12.12,,4.74
Mining,120.0,7.7,2.2,white,f24w,,6.27,,2129.73,,8.01,,11.29,,97.19,689438.69,1845.6,,5.1,,2.22,181227.97,1561.3,,12.28,380.72,79.44,,49.92,,32.85,0,0,,28.05,1502.8,95.72,0,0,0,0,643.66,142.55,,9397.17,,115.03,,2.15,,1.74,,57.36,,620.23,12.06,5.44,,6.18,,1.5,0,0,109566.2,908.1,,29.39,0,0,,4.1,11874.69,783.96,,23.76,590.3,9.37,0,0,0,0,0,0,4661.21,105.07,0,0,,50.43,,81.6,45.48,11.2,,5.01
Mining,120.0,4.5,2.5,yellow,f15y,,11.58,5182.77,1574.5,30.35,5.18,,9.52,,92.11,579783.75,2073.76,,3.71,2.8,1.75,349327.19,2286.52,,23.12,4571.77,113.18,,77.14,,79.39,0,0,,23.59,9319.71,191.07,0,0,0,0,2585.98,210.79,,13257.53,,91.43,,1.71,,1.5,,46.95,,476.47,,7.05,,6.68,,1.5,0,0,11114.33,290.42,,38.01,0,0,,2.95,37117.92,1069.6,,39.69,208.86,4.66,0,0,0,0,0,0,699.44,110.46,0,0,,48.96,,66.89,,12.22,,2.73
Mining,120.0,4.2,5.2,yellow,b44y,,10.35,,1808.02,,15.9,,18.76,,109.61,816013.31,1650.77,,6.93,,5.09,157155.8,1933.99,,16.46,2212.76,134.43,,132.13,71.15,33.68,0,0,,54.54,10224.96,303.43,0,0,0,0,1519.47,238.88,,10815.5,,169.82,,3.6,,2.97,,103.97,,523.47,,14.01,,8.14,,1.5,0,0,2623.84,278.8,,35.46,0,0,,8.06,5978.3,687.8,,49.18,195.29,6.75,0,0,0,0,0,0,4003.85,129.67,0,0,,69.19,,151.7,,31.46,,5.17
Mining,120.0,3.9,10.2,yellow,b13ynew,,4.62,1612.02,535.54,50.93,12.19,,14.97,114.03,45.37,846144.5,976.01,,5.67,6.23,2.34,66196.72,1062.12,108.87,9.83,2307.29,63.12,,165.88,220.23,33.57,0,0,,25.34,57665.87,525.2,0,0,0,0,622.52,161.6,,4873.87,,179.57,,2.01,,1.65,,53.16,,230.26,194.92,12.57,,4.53,1.65,1.0,0,0,8633.78,181.32,,17.89,0,0,,65.31,5188.58,339.67,,18.13,314.22,6.18,0,0,0,0,0,0,6076.75,169.38,0,0,,126.6,,82.29,25.08,9.9,11.62,3.11
Mining,120.0,2.7,2.5,yellow,f13y,,5.83,,1218.36,,5.81,,10.04,,65.52,852148.19,963.93,,4.05,14.24,2.31,90692.68,1038.36,,14.89,405.34,62.12,,71.19,56.89,17.9,0,0,,26.93,6720.51,170.85,0,0,0,0,494.98,128.83,,5366.4,,111.36,,1.9,,1.57,,53.39,,351.27,,5.16,,4.54,,1.5,0,0,36675.73,417.31,,22.91,0,0,,3.51,3778.56,421.35,,27.56,216.61,4.92,0,0,0,0,0,0,8773.37,132.0,0,0,,60.44,,74.86,14.59,9.35,,3.03
Mining,120.0,1.8,19.0,yellow,h27ynew,,7.41,1692.68,1022.42,,8.9,,11.3,,72.97,845377.81,1068.31,,4.79,8.89,2.22,93625.94,1096.93,,11.02,3067.43,115.72,,109.0,45.69,19.35,0,0,,29.67,16906.34,287.58,0,0,0,0,743.49,141.3,,8292.85,,128.73,,2.22,,1.93,,59.37,,707.23,,6.36,,5.39,,1.5,0,0,14362.66,351.76,,21.3,0,0,,4.01,14024.8,778.73,,21.49,203.26,5.12,0,0,0,0,0,0,9905.66,147.71,0,0,,65.66,,84.44,27.76,10.85,7.58,2.85
Mining,120.0,3.7,22.7,yellow,h10y,,4.92,1144.69,636.46,9.23,5.31,,11.5,,71.41,829083.19,1129.83,,5.05,32.68,3.27,75660.94,1180.06,,9.94,1955.6,70.18,,170.86,102.51,31.36,0,0,,31.72,53861.69,532.63,0,0,0,0,658.11,171.06,6094.7,4045.7,253.03,90.96,,2.24,,1.85,,59.22,,283.56,,8.3,,4.61,,1.5,0,0,14397.37,253.59,,22.22,0,0,,4.29,4876.39,392.73,,21.08,379.3,7.24,0,0,0,0,0,0,11382.45,187.23,0,0,,91.99,,83.68,37.32,11.12,,4.99
Mining,120.0,3.5,18.5,yellow,h34y,,8.3,,1656.62,28.56,9.59,,10.78,214.47,53.55,857572.38,1000.8,,5.51,,3.04,75892.03,1011.75,,11.2,1129.19,83.65,,87.05,156.28,27.91,0,0,1555.63,50.23,7854.12,192.86,0,0,0,0,458.12,143.44,8188.92,5025.94,264.76,98.28,,2.12,,1.71,,61.53,3397.87,319.41,103.15,9.44,,5.16,,1.5,0,0,24704.74,387.73,,21.07,0,0,,4.16,5336.73,524.59,,29.39,229.03,5.35,0,0,0,0,0,0,12884.71,225.95,0,0,,139.7,,81.57,26.91,11.88,,3.48
Mining,120.0,3.5,12.6,yellow,b2ynew,,5.51,1147.56,683.96,10.54,5.64,,14.9,,78.56,818346.81,1177.31,,4.79,5.71,2.09,81177.25,1317.45,72.87,10.24,2183.55,74.71,,173.58,154.94,42.24,0,0,,29.5,55380.78,546.15,0,0,0,0,2103.34,229.99,,5966.42,340.33,92.9,,2.25,,1.77,,57.49,678.46,201.09,,11.88,,5.33,,1.5,0,0,5055.86,179.04,,20.73,0,0,,45.55,8968.01,476.06,,19.53,423.71,7.75,0,0,0,0,0,0,23763.38,321.8,0,0,,212.32,,89.69,62.14,12.18,11.35,3.58
