Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,8.0,11.6,blue,b11bl,10.33,5.76,,2170.96,337.91,39.1,,19.59,144.45,66.97,815751.56,1359.54,,16.01,,5.98,107441.79,1260.4,,13.78,8100.81,147.39,,72.62,,35.5,0,0,15119.1,198.84,4259.84,156.79,0,0,0,0,1770.86,178.63,,7529.56,,135.9,,2.71,,2.3,,67.88,,710.09,1776.5,42.16,,7.14,2.54,1.0,0,0,10462.7,287.68,29.35,18.47,0,0,,6.35,33763.77,957.39,367.88,25.64,205.28,5.79,0,0,0,0,0,0,434.61,48.11,0,0,,30.14,,108.05,,31.78,,4.17
Mining,92.6,7.0,2.7,green,f17g,,3.47,,14971.19,23.11,7.32,,12.51,,61.04,901555.0,766.44,,4.96,,3.49,93351.26,1845.86,,7.02,,2073.55,,57.3,,41.45,0,0,2232.83,67.12,1741.86,113.39,0,0,0,0,775.71,164.63,,350732.69,,123.42,,2.41,,1.98,,71.3,,9032.17,26.07,6.63,,3.39,,1.5,0,0,,3859.76,,13.65,0,0,,4.49,,10364.25,,12.75,142.61,4.65,0,0,0,0,0,0,150.76,40.43,0,0,,26.05,,96.89,,31.13,,3.29
Mining,120.0,6.8,2.8,green,f17g,,8.22,,2229.42,53.17,9.72,,11.98,,159.16,747570.25,1633.52,,5.76,,3.91,182274.3,1614.35,,13.86,7925.99,170.65,,56.31,,44.97,0,0,6225.07,107.24,2168.2,113.75,0,0,0,0,1268.99,159.04,,19522.92,,122.45,,2.32,,1.86,,63.32,841.3,432.34,71.84,8.66,,7.11,,1.5,0,0,21837.51,454.76,,25.86,0,0,,4.51,26969.93,1101.58,,35.21,207.79,5.34,0,0,0,0,0,0,416.82,57.79,0,0,,30.09,,89.8,,23.11,,4.28
Mining,120.0,7.0,17.9,green,h37g,,8.64,,1610.8,70.23,10.97,,12.5,,87.59,741474.69,1632.05,,5.53,,3.09,212817.52,1757.05,,12.68,6642.06,130.0,,56.22,,32.97,0,0,8576.13,129.56,1848.44,105.61,0,0,0,0,1318.75,162.47,,15251.0,,114.88,,2.25,,1.82,,63.01,839.44,298.9,100.05,9.75,,5.84,,1.5,0,0,10110.4,274.6,,32.1,0,0,,4.76,14140.62,699.29,,21.88,162.75,4.67,0,0,0,0,0,0,462.66,64.11,0,0,,32.24,,88.04,,24.31,,3.22
Mining,120.0,3.2,8.8,red,b25r,,9.95,,1856.86,19.89,10.35,,20.07,,182.68,886214.06,1195.87,,8.16,,4.62,99487.77,1641.79,,18.54,1589.67,154.35,,118.54,,53.49,0,0,367.43,51.33,6718.76,268.21,0,0,0,0,954.65,268.64,,12716.84,,183.72,,3.99,,3.4,,120.57,,599.52,29.34,9.75,,9.0,,1.5,0,0,685.54,310.51,,41.43,0,0,,9.32,3538.63,720.77,,36.42,170.14,6.71,0,0,0,0,0,0,172.02,61.29,0,0,,58.54,,170.35,,29.21,,5.5
Mining,120.0,6.5,7.5,red,b34r,,4.14,,963.39,22.69,6.65,,9.99,,57.87,903625.88,653.03,,4.36,,2.69,73849.14,906.44,,8.58,914.5,60.98,,95.18,25.55,15.31,0,0,42.49,19.51,13715.32,240.52,0,0,0,0,1078.08,132.56,,7827.53,,106.22,,1.85,,1.55,,54.58,,247.47,34.24,6.23,,3.97,,1.5,0,0,2117.53,138.56,,17.68,0,0,,3.52,4147.07,345.08,,18.13,166.57,4.28,0,0,0,0,0,0,260.91,33.13,0,0,,25.43,,75.74,,13.51,,3.26
Mining,120.0,2.0,17.5,white,c1fabricwhite,5.89,3.27,,880.35,,5.38,,7.46,,50.74,945507.44,381.63,,3.57,18.56,2.28,29309.39,580.89,13.36,6.16,18539.56,205.33,,35.84,,27.66,0,0,,23.7,535.99,64.98,0,0,0,0,862.85,135.14,,5342.74,,79.42,2.86,1.78,,2.3,,47.02,,351.27,,5.69,,3.88,,1.5,0,0,2847.72,187.99,,23.7,0,0,,2.87,2226.5,380.07,16.17,10.06,36.19,1.92,0,0,0,0,0,0,75.81,24.07,0,0,,25.84,,64.05,,11.32,,3.1
Mining,120.0,8.5,17.5,white,c6wabvyllw,,6.46,,1360.05,,6.35,,10.64,,76.99,771132.44,1450.38,,4.21,,2.65,222341.41,1785.17,,15.97,1258.01,77.54,,40.6,35.69,20.13,0,0,,29.58,135.8,61.5,0,0,0,0,229.61,141.14,,7538.49,,105.28,,2.24,,1.82,,60.74,,308.55,,5.95,,5.57,,1.5,0,0,1571.14,162.38,,27.66,0,0,,4.45,3050.46,416.8,,29.85,137.53,4.22,0,0,0,0,0,0,105.36,57.09,0,0,,25.49,,85.62,,14.77,,2.95
Mining,120.0,3.3,1.4,white,f20w,,10.11,,1921.44,,15.59,,20.75,,128.03,825733.19,1702.51,,7.87,,5.04,169298.27,2216.54,,19.81,205.79,132.23,,80.59,68.01,36.84,0,0,89.34,43.51,1120.97,138.8,0,0,0,0,413.54,252.96,,12184.19,,178.9,,4.16,,3.57,,121.88,,548.41,,10.31,,9.97,,1.5,0,0,,396.58,,35.5,0,0,,8.81,2776.72,653.72,,33.6,150.78,6.33,0,0,0,0,0,0,141.94,73.11,0,0,,51.52,,174.89,,29.39,,5.36
Mining,120.0,8.4,2.0,white,f25w,,5.17,,1058.46,,4.69,,8.46,,57.16,736898.81,1347.3,,3.19,,2.05,257508.91,1738.61,,10.37,852.91,51.67,,33.64,,27.48,0,0,,21.47,408.7,57.06,0,0,0,0,,201.44,,5218.95,,85.15,,1.6,,1.5,,43.97,,203.27,,4.59,,3.86,,1.5,0,0,981.33,107.07,,20.76,0,0,,2.8,2850.65,306.11,,14.67,163.55,3.86,0,0,0,0,0,0,166.09,63.59,0,0,,29.94,,63.58,,10.12,,2.3
